Asset ID,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
LWPNMA205281,141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
LWPNMA205282,142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure
LWPNMA205283,143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure
LWPNMA205284,144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
LWPNMA205285,145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure
LWPNMA205286,146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure
LWPNMA205287,147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure
LWPNMA205288,148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
LWPNMA205289,149,M15008,M,298.3,308.3,1379,48,181,0,No Failure
LWPNMA205290,150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure
LWPNMA205291,151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure
LWPNMA205292,152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure
LWPNMA205293,153,M15012,M,298.4,308.2,1584,41,191,0,No Failure
LWPNMA205294,154,L47333,L,298.4,308.2,1850,27,194,0,No Failure
LWPNMA205295,155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure
LWPNMA205296,156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure
LWPNMA205297,157,M15016,M,298.4,308.1,1495,46,203,0,No Failure
LWPNMA205298,158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure
LWPNMA205299,159,M15018,M,298.4,308.2,1499,40,211,0,No Failure
LWPNMA205300,160,L47339,L,298.4,308.2,1471,47,214,0,No Failure
LWPNMA205301,161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
LWPNMA205302,162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
LWPNMA205303,163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure
LWPNMA205304,164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
LWPNMA205305,165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure
LWPNMA205306,166,L47345,L,298.5,308.4,1733,26,8,0,No Failure
LWPNMA205307,167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure
LWPNMA205308,168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure
LWPNMA205309,169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
LWPNMA205310,170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure
LWPNMA205311,171,M15030,M,298.4,308.2,1610,35,24,0,No Failure
LWPNMA205312,172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure
LWPNMA205313,173,M15032,M,298.1,308,1924,20.8,29,0,No Failure
LWPNMA205314,174,M15033,M,298.2,308,1591,33.7,32,0,No Failure
LWPNMA205315,175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure
LWPNMA205316,176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure
LWPNMA205317,177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure
LWPNMA205318,178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure
LWPNMA205319,179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure
LWPNMA205320,180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure
LWPNMA205321,181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure
LWPNMA205322,182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure
LWPNMA205323,183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure
LWPNMA205324,184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure
LWPNMA205325,185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure
LWPNMA205326,186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure
LWPNMA205327,187,L47366,L,298.1,308.3,1301,56,63,0,No Failure
LWPNMA205328,188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure
LWPNMA205329,189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure
LWPNMA205330,190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure
LWPNMA205331,191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure
LWPNMA205332,192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure
LWPNMA205333,193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure
LWPNMA205334,194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure
LWPNMA205335,195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
LWPNMA205336,196,L47375,L,298.3,308.5,1453,42.9,89,0,No Failure
LWPNMA205337,197,H29610,H,298.3,308.6,1432,49.5,91,0,No Failure
LWPNMA205338,198,M15057,M,298.4,308.6,1527,40.9,96,0,No Failure
LWPNMA205339,199,L47378,L,298.4,308.7,1588,35,99,0,No Failure
LWPNMA205340,200,L47379,L,298.4,308.6,1433,47.1,101,0,No Failure
LWPNMA205341,201,L47380,L,298.4,308.6,1609,35,103,0,No Failure
LWPNMA205342,202,L47381,L,298.3,308.5,1575,41.2,105,0,No Failure
LWPNMA205343,203,M15062,M,298.4,308.5,1636,35.7,107,0,No Failure
LWPNMA205344,204,L47383,L,298.4,308.5,1490,37.9,110,0,No Failure
LWPNMA205345,205,L47384,L,298.4,308.5,1741,32.8,112,0,No Failure
LWPNMA205346,206,M15065,M,298.5,308.6,1344,53,114,0,No Failure
LWPNMA205347,207,L47386,L,298.5,308.7,1609,35.3,117,0,No Failure
LWPNMA205348,208,M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure
LWPNMA205349,209,L47388,L,298.4,308.6,1591,36.7,122,0,No Failure
LWPNMA205350,210,L47389,L,298.4,308.6,1477,44,124,0,No Failure
LWPNMA205351,211,L47390,L,298.4,308.7,1523,36.1,126,0,No Failure
LWPNMA205352,212,L47391,L,298.5,308.7,1575,33.9,128,0,No Failure
LWPNMA205353,213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure
LWPNMA205354,214,L47393,L,298.4,308.7,1386,44.9,135,0,No Failure
LWPNMA205355,215,M15074,M,298.3,308.6,1589,37.1,137,0,No Failure
LWPNMA205356,216,L47395,L,298.3,308.6,1548,40.3,140,0,No Failure
LWPNMA205357,217,L47396,L,298.3,308.6,1499,38.3,142,0,No Failure
LWPNMA205358,218,L47397,L,298.3,308.5,1664,31.6,144,0,No Failure
LWPNMA205359,219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure
LWPNMA205360,220,M15079,M,298.3,308.5,1434,46.2,148,0,No Failure
LWPNMA205361,221,L47400,L,298.3,308.5,1416,52.7,151,0,No Failure
LWPNMA205362,222,H29635,H,298.4,308.5,1827,24.3,153,0,No Failure
LWPNMA205363,223,L47402,L,298.4,308.6,1304,45,158,0,No Failure
LWPNMA205364,224,L47403,L,298.4,308.6,1569,34.4,160,0,No Failure
LWPNMA205365,225,L47404,L,298.3,308.6,1584,29.3,162,0,No Failure
LWPNMA205366,226,L47405,L,298.3,308.5,1362,53.8,164,0,No Failure
LWPNMA205367,227,L47406,L,298.3,308.4,1329,49.2,166,0,No Failure
LWPNMA205368,228,L47407,L,298.3,308.5,1539,36.1,168,0,No Failure
LWPNMA205369,229,M15088,M,298.3,308.5,1629,37.1,170,0,No Failure
LWPNMA205370,230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure
LWPNMA205371,231,L47410,L,298.3,308.6,1570,34.8,175,0,No Failure
LWPNMA205372,232,L47411,L,298.3,308.4,1408,43.1,177,0,No Failure
LWPNMA205373,233,L47412,L,298.2,308.4,1424,47.6,179,0,No Failure
LWPNMA205374,234,L47413,L,298.2,308.4,1512,34.9,181,0,No Failure
LWPNMA205375,235,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure
LWPNMA205376,236,M15095,M,298.1,308.3,1680,33.7,185,0,No Failure
LWPNMA205377,237,L47416,L,298.1,308.3,1495,38.7,188,0,No Failure
LWPNMA205378,238,M15097,M,298,308.1,1552,36.6,190,0,No Failure
LWPNMA205379,239,L47418,L,297.9,308.1,1393,50.3,193,0,No Failure
LWPNMA205380,240,L47419,L,298,308.2,1611,30.6,195,0,No Failure
LWPNMA205381,241,M15100,M,298,308.1,1339,51.6,197,0,No Failure
LWPNMA205382,242,L47421,L,298,308.1,1777,24.3,200,0,No Failure
LWPNMA205383,243,L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure
LWPNMA205384,244,L47423,L,298,308.2,1442,44.1,204,0,No Failure
LWPNMA205385,245,M15104,M,298,308.2,1395,49.1,206,0,No Failure
LWPNMA205386,246,M15105,M,297.9,308.1,1627,31.4,209,0,No Failure
LWPNMA205387,247,L47426,L,297.9,308.1,1585,33.5,212,0,No Failure
LWPNMA205388,248,L47427,L,298,308.2,1469,45.5,214,0,No Failure
LWPNMA205389,249,L47428,L,298,308.3,1362,56.8,216,1,Overstrain Failure
LWPNMA205390,250,L47429,L,298,308.3,1405,56.2,218,1,Overstrain Failure
LWPNMA205391,251,L47430,L,298,308.3,1662,32.7,0,0,No Failure
LWPNMA205392,252,M15111,M,298,308.2,1466,42.6,2,0,No Failure
LWPNMA205393,253,L47432,L,298,308.2,1620,35.8,5,0,No Failure
LWPNMA205394,254,L47433,L,298,308.2,1357,48.2,7,0,No Failure
LWPNMA205395,255,L47434,L,298,308.2,1514,37.9,9,0,No Failure
LWPNMA205396,256,L47435,L,298,308.2,1489,40.4,11,0,No Failure
LWPNMA205397,257,L47436,L,298.1,308.3,1331,63,13,0,No Failure
LWPNMA205398,258,L47437,L,298,308,1615,29.5,15,0,No Failure
LWPNMA205399,259,L47438,L,298.1,308.2,1482,37.9,17,0,No Failure
LWPNMA205400,260,M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure
LWPNMA205401,261,M15120,M,298.2,308.3,1522,49.1,22,0,No Failure
LWPNMA205402,262,L47441,L,298.1,308.2,1654,32.1,25,0,No Failure
LWPNMA205403,263,M15122,M,298.1,308.2,1736,26.8,27,0,No Failure
LWPNMA205404,264,M15123,M,298,308.1,1587,32.3,30,0,No Failure
LWPNMA205405,265,L47444,L,298.1,308.2,1390,47.5,33,0,No Failure
LWPNMA205406,266,L47445,L,298,308.1,1454,37.1,35,0,No Failure
LWPNMA205407,267,H29680,H,298,308.1,1440,43.7,37,0,No Failure
LWPNMA205408,268,L47447,L,297.9,308,1954,21.1,42,0,No Failure
LWPNMA205409,269,H29682,H,297.9,308,1800,24.8,44,0,No Failure
LWPNMA205410,270,L47449,L,298,308,1524,37,49,0,No Failure
LWPNMA205411,271,H29684,H,298,308,1520,39.6,51,0,No Failure
LWPNMA205412,272,M15131,M,298.1,308.1,1452,40.8,56,0,No Failure
LWPNMA205413,273,L47452,L,298.1,308.1,1484,40.4,59,0,No Failure
LWPNMA205414,274,L47453,L,298.1,308,1426,46,61,0,No Failure
LWPNMA205415,275,L47454,L,298.1,308,1652,28.5,63,0,No Failure
LWPNMA205416,276,L47455,L,298,308,1401,54.7,65,0,No Failure
LWPNMA205417,277,M15136,M,298,307.9,1750,26.6,67,0,No Failure
LWPNMA205418,278,H29691,H,298,308,1479,50.7,70,0,No Failure
LWPNMA205419,279,M15138,M,298,308,1620,29.4,75,0,No Failure
LWPNMA205420,280,L47459,L,298,308.1,1819,23.4,78,0,No Failure
LWPNMA205421,281,M15140,M,298.1,308.1,1456,43.7,80,0,No Failure
LWPNMA205422,282,L47461,L,298.1,308,1626,36.5,83,0,No Failure
LWPNMA205423,283,M15142,M,298.1,308.1,1390,49.8,85,0,No Failure
LWPNMA205424,284,L47463,L,298.2,308.2,1469,43,88,0,No Failure
LWPNMA205425,285,L47464,L,298.2,308.3,2051,19.2,90,0,No Failure
LWPNMA205426,286,L47465,L,298.2,308.3,1568,36,92,0,No Failure
LWPNMA205427,287,L47466,L,298.2,308.3,1589,33.2,94,0,No Failure
LWPNMA205428,288,L47467,L,298.2,308.3,1805,31.6,96,0,No Failure
LWPNMA205429,289,H29702,H,298.2,308.4,1385,42.2,98,0,No Failure
LWPNMA205430,290,L47469,L,298.1,308.4,1436,46.7,103,0,No Failure
LWPNMA205431,291,L47470,L,298.1,308.4,1438,45.6,105,0,No Failure
LWPNMA205432,292,L47471,L,298,308.3,1473,42.6,107,0,No Failure
LWPNMA205433,293,L47472,L,298.1,308.4,1335,40.2,109,0,No Failure
LWPNMA205434,294,H29707,H,298.1,308.5,1392,44.8,111,0,No Failure
LWPNMA205435,295,M15154,M,298.1,308.5,1372,51.1,116,0,No Failure
LWPNMA205436,296,M15155,M,298.1,308.6,1716,30.7,119,0,No Failure
LWPNMA205437,297,L47476,L,298,308.5,1395,46.2,122,0,No Failure
LWPNMA205438,298,L47477,L,298,308.5,1713,25.3,124,0,No Failure
LWPNMA205439,299,H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
LWPNMA205440,300,M15159,M,297.8,308.3,1567,35.6,131,0,No Failure
LWPNMA205441,301,L47480,L,297.8,308.4,1622,38.3,134,0,No Failure
LWPNMA205442,302,L47481,L,297.7,308.4,1740,27.1,136,0,No Failure
LWPNMA205443,303,H29716,H,297.8,308.4,1512,35.1,138,0,No Failure
LWPNMA205444,304,M15163,M,297.8,308.4,1479,43.5,143,0,No Failure
LWPNMA205445,305,L47484,L,297.8,308.4,1737,27.5,146,0,No Failure
LWPNMA205446,306,L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
LWPNMA205447,307,L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
LWPNMA205448,308,M15167,M,297.8,308.4,1579,36.6,152,0,No Failure
LWPNMA205449,309,L47488,L,297.9,308.5,1305,47.2,155,0,No Failure
LWPNMA205450,310,M15169,M,297.9,308.5,1449,40.8,157,0,No Failure
LWPNMA205451,311,H29724,H,298,308.6,1526,41.8,160,0,No Failure
LWPNMA205452,312,M15171,M,298,308.6,1453,44.1,165,0,No Failure
LWPNMA205453,313,L47492,L,297.9,308.6,1468,36,168,0,No Failure
LWPNMA205454,314,L47493,L,298,308.6,1313,50.8,170,0,No Failure
LWPNMA205455,315,M15174,M,297.9,308.5,1300,53,172,0,No Failure
LWPNMA205456,316,L47495,L,297.9,308.4,1646,40.6,175,0,No Failure
LWPNMA205457,317,L47496,L,297.8,308.4,1714,33.2,177,0,No Failure
LWPNMA205458,318,L47497,L,297.8,308.4,1685,28.4,179,0,No Failure
LWPNMA205459,319,L47498,L,297.8,308.4,1512,39.9,181,0,No Failure
LWPNMA205460,320,L47499,L,297.8,308.4,1612,32.1,183,0,No Failure
LWPNMA205461,321,H29734,H,297.8,308.4,1550,38.2,185,0,No Failure
LWPNMA205462,322,L47501,L,297.8,308.4,1518,32.5,190,0,No Failure
LWPNMA205463,323,L47502,L,297.8,308.5,1448,40,192,0,No Failure
LWPNMA205464,324,L47503,L,297.8,308.5,1561,46.3,194,0,No Failure
LWPNMA205465,325,M15184,M,297.8,308.5,1488,41.9,196,0,No Failure
LWPNMA205466,326,L47505,L,297.8,308.5,1699,27.8,199,0,No Failure
LWPNMA205467,327,L47506,L,297.7,308.5,1501,41.4,201,0,No Failure
LWPNMA205468,328,L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
LWPNMA205469,329,H29742,H,297.6,308.4,1703,31.4,205,0,No Failure
LWPNMA205470,330,H29743,H,297.7,308.5,1720,29.9,210,0,No Failure
LWPNMA205471,331,M15190,M,297.6,308.4,1398,41.9,215,0,No Failure
LWPNMA205472,332,M15191,M,297.6,308.4,1391,51.9,218,0,No Failure
LWPNMA205473,333,M15192,M,297.6,308.3,1538,40.2,0,0,No Failure
LWPNMA205474,334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure
LWPNMA205475,335,M15194,M,297.5,308.1,1469,44.8,5,0,No Failure
LWPNMA205476,336,L47515,L,297.4,308.1,1749,25.9,8,0,No Failure
LWPNMA205477,337,M15196,M,297.6,308.2,1995,20.5,10,0,No Failure
LWPNMA205478,338,L47517,L,297.6,308.3,1742,27.7,13,0,No Failure
LWPNMA205479,339,L47518,L,297.5,308.2,1563,38.2,15,0,No Failure
LWPNMA205480,340,M15199,M,297.5,308.2,1713,32.2,17,0,No Failure
LWPNMA205481,341,L47520,L,297.4,308.1,1474,39.4,20,0,No Failure
LWPNMA205482,342,M15201,M,297.4,308.2,1530,32.6,22,0,No Failure
